 
 
 ! The solution file is: SaveSims\coaltest
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 9
 
 USA         ,-2.14181127E-04,
 EU27        ,-3.91440371E-05,
 EEFSU       , 4.39080817E-04,
 JPN         ,-2.04521493E-04,
 RoA1        , 1.64141660E-04,
 EEx         , 3.19454208E-04,
 CHN         ,-3.27365815E-05,
 IND         ,-5.49103715E-05,
 ROW         , 4.25815097E-06,
 
 
 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 9
 
 USA         ,-2.13214415E-04,
 EU27        ,-1.22542879E-05,
 EEFSU       , 6.83612074E-04,
 JPN         ,-8.03541479E-05,
 RoA1        , 2.69000157E-04,
 EEx         , 6.63665938E-04,
 CHN         ,-1.70446292E-05,
 IND         ,-1.04087529E-04,
 ROW         , 5.46233787E-05,
 
 
 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 8x9
 
 pgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Gas         , 6.29195012E-03, 9.58394725E-04, 1.32180715E-03,-1.91412037E-04, 3.21176089E-03, 1.65488676E-03, 9.66677733E-04, 2.98614526E-04, 1.52503920E-03,
 Oil_pcts    , 1.04807015E-03, 1.60532608E-03, 1.61104009E-03, 1.81364641E-03, 1.97626697E-03, 1.98743329E-03, 1.20068283E-03, 1.76849274E-03, 1.84668927E-03,
 Electricity ,-6.11525401E-03,-8.78947685E-06, 8.60448694E-04, 3.54580989E-04, 1.48119856E-04, 1.15405361E-03, 1.74290672E-05, 6.06276371E-05, 4.28246858E-04,
 En_Int_ind  ,-3.23982269E-04, 1.31565306E-04, 7.97668821E-04, 1.62612516E-04, 3.73343239E-04, 6.02964486E-04, 9.87018575E-05, 2.19848895E-04, 2.66305782E-04,
 Oth_ind_ser ,-2.02478448E-04, 3.17717081E-06, 6.21858460E-04,-1.72787040E-04, 2.64595496E-04, 4.46198654E-04, 1.32506457E-05,-2.94230740E-05, 5.70401171E-05,
 CGDS        ,-1.67764840E-04, 7.27224915E-06, 4.85497119E-04,-1.58105220E-04, 2.10557948E-04, 3.65870510E-04, 1.36797034E-05,-8.49408661E-06, 5.06744364E-05,
 
 
 ! Variable tgd # tax on domestic i purchased by government hhld in r #
 ! Variable tgd(TRAD_COMM:REG) of size 8x9
 
 tgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Coal        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Gas         ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oil_pcts    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Electricity ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 En_Int_ind  ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Oth_ind_ser ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 
 
 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 8x9
 
 pgm(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 2.14124317E-04, 1.22322293E-04, 1.97527581E-04, 5.50979748E-05, 2.30969745E-05, 8.32099104E-05, 1.31964392E-04, 2.13922991E-04, 8.14317391E-05,
